0.003704, 0.148148, 50
0.017453, 0.274983, 50
0.044966, 0.550269, 50
0.086274, 0.826160, 50
0.141422, 1.102954, 50
0.210469, 1.380945, 50
0.293490, 1.660419, 50
0.390573, 1.941652, 50
0.501818, 2.224911, 50
0.627341, 2.510449, 50
0.767266, 2.798503, 50
0.921731, 3.089295, 50
1.090882, 3.383030, 50
1.274877, 3.679897, 50
1.473881, 3.980071, 50
1.688067, 4.283719, 50
1.917617, 4.591001, 50
2.162720, 4.902077, 50
2.423577, 5.217121, 50
2.700393, 5.536326, 50
2.993389, 5.859918, 50
3.302797, 6.188168, 50
3.628868, 6.521409, 50
3.971870, 6.860051, 50
4.332100, 7.204595, 50
4.709882, 7.555649, 50
5.105579, 7.913939, 50
5.515747, 8.203351, 50
5.932985, 8.344764, 50
6.353585, 8.411994, 50
6.777663, 8.481574, 50
7.205339, 8.553505, 50
7.636718, 8.627575, 50
8.071882, 8.703288, 50
8.510872, 8.779802, 50
8.953665, 8.855868, 50
9.400156, 8.929801, 50
9.850131, 8.999502, 50
10.303258, 9.062551, 50
10.758886, 9.112547, 50
11.211989, 9.062073, 50
11.653538, 8.830980, 50
12.078720, 8.503627, 50
12.486894, 8.163485, 50
12.877576, 7.813642, 50
13.250435, 7.457188, 50
13.605282, 7.096930, 50
13.942043, 6.735221, 50
14.260737, 6.373891, 50
14.561451, 6.014269, 50
14.844313, 5.657238, 50
15.109479, 5.303325, 50
15.357118, 4.952778, 50
15.587400, 4.605647, 50
15.800492, 4.261844, 50
16.118703, 6.364214, 50
16.647103, 10.568007, 50
17.109696, 9.251845, 50
17.426820, 6.342495, 50
17.623757, 3.938727, 50
17.737950, 2.283859, 50
17.794106, 1.123134, 50
17.809696, 0.311782, 50
17.819406, 0.194204, 50
17.840239, 0.416673, 50
17.860448, 0.404165, 50
17.872274, 0.236523, 50
17.875378, 0.062075, 50
17.875378, 0.000000, 50
